alpha mmin mmax delta_m
5.624546587254663 1.0812343227596777 2.7155882695485123 0.3450457080555008
6.480835651718321 1.0414848359331574 2.2817595607996113 0.7340567974310235
7.378898590288264 1.0359205289037938 2.2992892566853476 0.7603440840731862
8.380086229196538 1.1944103422971766 2.857826013449099 0.2680008418937675
7.426981743305971 1.0748801173141713 2.630013955711044 0.6583450293272969
8.43188220901261 1.1777118340252248 2.422548596853943 0.3319780747592788
7.208809965866351 1.0239690685723566 2.4098342169776146 0.8090258489135215
6.894777982474833 1.1567440822050314 2.509517909034545 0.19969023650436143
8.246867400510048 1.2302871034964642 2.880240908293474 0.11689572127485869
7.304858249945928 1.2085650635773546 2.1722973441466764 0.17399576651385595
7.813900121271324 1.193553527227391 2.2827642877639023 0.29311618403958567
3.6110434227881942 1.1285732380465436 2.4311923497078762 0.3583377552860849
7.0145032687707225 1.2657712435670159 2.6889672261378337 0.10952900741723375
2.6680883912823186 1.19103515216771 2.3630746546978 0.039146960036597456
7.279808966273409 1.214855049085034 2.2269612303813315 0.22673754941073537
7.697036583251958 1.0917328465456504 2.292996013038548 0.6070138119287458
8.167632166135242 1.1924610841948295 2.743867004711105 0.28868319705649664
7.165442093106343 1.1085260104762533 2.631009786039569 0.35993787125546944
